ipc4,hs2007_3,probability_weight
"A01B","310",.0589782
"A01B","820",.0643849
"A01B","821",.1296127
"A01B","843",.6798434
"A01B","848",.0671809
"A01C","310",.6244231
"A01C","843",.3755768
"A01D","120",.0359689
"A01D","820",.04467
"A01D","821",.2194288
"A01D","843",.6681083
"A01D","848",.031824
"A01F","120",.1089732
"A01F","820",.0848453
"A01F","821",.2110754
"A01F","842",.0236246
"A01F","843",.5022678
"A01F","847",.038508
"A01F","848",.0307057
"A01G","060",.3151141
"A01G","121",.0258923
"A01G","140",.0663737
"A01G","310",.2314965
"A01G","440",.0447705
"A01G","520",.0298956
"A01G","820",.0515131
"A01G","821",.1105376
"A01G","843",.0651476
"A01G","846",.0241442
"A01G","848",.0351149
"A01H","060",.8873999
"A01H","120",.1126001
"A01J","040",.8548996
"A01J","843",.1451004
"A01K","020",.0271449
"A01K","030",.6822114
"A01K","040",.2660755
"A01K","848",.0245682
"A01L","050",1
"A01M","010",.0321503
"A01M","040",.0280685
"A01M","140",.0589265
"A01M","310",.0670109
"A01M","520",.0918472
"A01M","820",.1266588
"A01M","841",.0239447
"A01M","842",.0405641
"A01M","843",.192352
"A01M","846",.0347654
"A01M","847",.0812168
"A01M","848",.1952404
"A01M","960",.0272545
"A01N","060",.0444796
"A01N","120",.0411254
"A01N","170",.0357003
"A01N","230",.0536498
"A01N","282",.0821434
"A01N","283",.0827667
"A01N","284",.0243782
"A01N","290",.1173743
"A01N","291",.294935
"A01N","292",.0362082
"A01N","293",.1183006
"A01N","310",.0689386
"A01P","120",.1308328
"A01P","121",.0380987
"A01P","230",.0829477
"A01P","240",.0395039
"A01P","282",.0879083
"A01P","283",.0860965
"A01P","290",.0772544
"A01P","291",.2231912
"A01P","292",.0385002
"A01P","293",.0872577
"A01P","310",.081255
"A01P","520",.0271537
"A21B","190",1
"A21C","190",1
"A21D","040",.0315264
"A21D","070",.0298976
"A21D","071",.0468206
"A21D","090",.1179968
"A21D","100",.0926926
"A21D","110",.3478772
"A21D","190",.3034699
"A21D","210",.029719
"A22B","020",.2420024
"A22B","030",.0286965
"A22B","050",.0305292
"A22B","820",.0640176
"A22B","821",.6347543
"A22C","020",.1836376
"A22C","030",.1117888
"A22C","160",.6354496
"A22C","821",.0691241
"A23B","020",.161124
"A23B","021",.0230912
"A23B","030",.4597458
"A23B","040",.0742192
"A23B","070",.0682502
"A23B","071",.0596959
"A23B","081",.052513
"A23B","121",.0465456
"A23B","200",.054815
"A23C","040",.9714861
"A23C","120",.0285139
"A23D","040",.0899112
"A23D","120",.1217328
"A23D","150",.1747032
"A23D","151",.3829838
"A23D","152",.0461369
"A23D","180",.0272832
"A23D","230",.157249
"A23F","080",.095515
"A23F","090",.8569033
"A23F","100",.0475817
"A23G","040",.0296109
"A23G","051",.2585052
"A23G","170",.0368686
"A23G","180",.6501784
"A23G","210",.0248368
"A23J","030",.0632309
"A23J","040",.6282906
"A23J","110",.0261118
"A23J","120",.2248554
"A23J","210",.0346693
"A23J","350",.0228419
"A23K","020",.1895342
"A23K","030",.236416
"A23K","040",.0678701
"A23K","110",.0290177
"A23K","120",.2906411
"A23K","210",.0338986
"A23K","230",.0908697
"A23K","253",.0384936
"A23K","293",.023259
"A23L","020",.1637625
"A23L","030",.0735662
"A23L","040",.0526501
"A23L","070",.1834347
"A23L","071",.0426329
"A23L","080",.028157
"A23L","090",.0302569
"A23L","100",.0517925
"A23L","110",.0791213
"A23L","151",.0228657
"A23L","190",.0351838
"A23L","200",.2118492
"A23L","210",.0247273
"A23N","071",.0678058
"A23N","080",.0314745
"A23N","081",.0734015
"A23N","090",.0314542
"A23N","120",.2098857
"A23N","140",.028987
"A23N","820",.1641284
"A23N","821",.3412444
"A23N","960",.0516186
"A23P","020",.0373707
"A23P","030",.0505602
"A23P","040",.1446116
"A23P","071",.0401855
"A23P","110",.1755509
"A23P","120",.0514203
"A23P","121",.0310652
"A23P","160",.0246623
"A23P","180",.0957703
"A23P","190",.251283
"A23P","230",.0509824
"A23P","821",.0465375
"A24B","240",.9738944
"A24B","281",.0261056
"A24C","240",1
"A24D","240",1
"A24F","240",.9385245
"A24F","961",.0614755
"A41B","520",.1206921
"A41B","551",.0228937
"A41B","590",.0323024
"A41B","610",.0832656
"A41B","611",.7408462
"A41C","520",.0212034
"A41C","590",.0706899
"A41C","621",.9081068
"A41D","420",.0417394
"A41D","520",.0391792
"A41D","540",.0249468
"A41D","551",.0327765
"A41D","590",.0733778
"A41D","610",.146338
"A41D","620",.1776337
"A41D","621",.4640084
"A41F","420",.0281888
"A41F","590",.0826665
"A41F","610",.118857
"A41F","620",.1075258
"A41F","621",.6627618
"A41G","670",1
"A41H","531",.0265288
"A41H","590",.5270867
"A41H","591",.0853604
"A41H","610",.1589667
"A41H","620",.1794557
"A41H","670",.0226017
"A42B","650",1
"A42C","590",.0234523
"A42C","650",.9765477
"A43B","640",1
"A43C","640",1
"A43D","640",1
"A44B","540",.0505802
"A44B","551",.0944349
"A44B","590",.1529852
"A44B","600",.032149
"A44B","830",.0912542
"A44B","960",.5785964
"A44C","621",.0870993
"A44C","710",.5633075
"A44C","711",.229867
"A44C","911",.1197262
"A45B","660",1
"A45C","420",1
"A45D","330",.3937493
"A45D","960",.2236238
"A45D","961",.3826269
"A45F","392",.031498
"A45F","420",.737117
"A45F","590",.0801062
"A45F","621",.0338902
"A45F","630",.0643931
"A45F","660",.0529955
"A46B","960",1
"A46D","960",1
"A47B","220",.1191588
"A47B","392",.058778
"A47B","441",.031997
"A47B","700",.0489633
"A47B","730",.0254861
"A47B","731",.044412
"A47B","940",.5077696
"A47B","961",.1634352
"A47C","590",.0221184
"A47C","940",.9778816
"A47D","590",.0545768
"A47D","940",.9454232
"A47F","220",.0656344
"A47F","240",.0888006
"A47F","392",.1429103
"A47F","420",.0457192
"A47F","570",.1535587
"A47F","621",.0299653
"A47F","630",.0726991
"A47F","700",.2080829
"A47F","721",.0326098
"A47F","730",.0259037
"A47F","731",.039064
"A47F","830",.0385022
"A47F","940",.0565498
"A47G","220",.0397743
