ipc4,isic_rev4_3,probability_weight
"A01B","015",.0011416
"A01B","016",.1289844
"A01B","021",.0212511
"A01B","106",.0240178
"A01B","281",.0728743
"A01B","282",.7517307
"A01C","016",.9229856
"A01C","106",.0490582
"A01C","282",.0279562
"A01D","016",.0619232
"A01D","103",.0777017
"A01D","106",.0704833
"A01D","281",.0497489
"A01D","282",.7401429
"A01F","016",.0695007
"A01F","106",.329973
"A01F","281",.0403111
"A01F","282",.5602152
"A01G","016",.1807516
"A01G","021",.0842296
"A01G","024",.023567
"A01G","103",.1619851
"A01G","106",.0293009
"A01G","201",.0223226
"A01G","360",.4971073
"A01G","813",.0007359
"A01H","016",.3151265
"A01H","103",.5241053
"A01H","106",.1607682
"A01J","105",1
"A01K","014",.119598
"A01K","031",.0925113
"A01K","032",.3903547
"A01K","101",.0807749
"A01K","108",.0848975
"A01K","360",.2318635
"A01L","014",.1052248
"A01L","152",.6879791
"A01L","162",.0465466
"A01L","201",.0348129
"A01L","202",.1254367
"A01M","017",1
"A01N","013",.1796525
"A01N","016",.0993441
"A01N","103",.0998193
"A01N","106",.1217622
"A01N","201",.161471
"A01N","202",.2663343
"A01N","360",.0716165
"A01P","011",.0256884
"A01P","013",.1209219
"A01P","016",.1298278
"A01P","103",.2508582
"A01P","106",.1568563
"A01P","201",.0744405
"A01P","202",.1856586
"A01P","360",.0557484
"A21B","101",.0464707
"A21B","106",.1604735
"A21B","107",.5829006
"A21B","275",.0645795
"A21B","281",.038251
"A21B","353",.0451943
"A21B","982",.0621303
"A21C","106",.6705805
"A21C","107",.3294195
"A21D","106",.8210199
"A21D","107",.17898
"A22B","014",.1126063
"A22B","101",.8873937
"A22C","101",1
"A23B","011",.0764586
"A23B","012",.0404287
"A23B","101",.4085403
"A23B","102",.0703952
"A23B","103",.2845095
"A23B","106",.0395702
"A23B","107",.0517554
"A23B","360",.0283421
"A23C","105",1
"A23D","016",.0220608
"A23D","104",.8413076
"A23D","105",.0745875
"A23D","106",.030891
"A23D","107",.0311532
"A23F","011",.0564542
"A23F","012",.8886096
"A23F","103",.0301216
"A23F","107",.0248144
"A23G","011",.082941
"A23G","103",.0222929
"A23G","105",.472677
"A23G","106",.0356554
"A23G","107",.3864338
"A23J","101",.1708267
"A23J","105",.5141193
"A23J","106",.2451911
"A23J","107",.0378135
"A23J","360",.0320494
"A23K","011",.1357027
"A23K","014",.0242072
"A23K","101",.3635574
"A23K","103",.0237985
"A23K","105",.0488823
"A23K","106",.2545539
"A23K","107",.0560491
"A23K","108",.0932487
"A23L","011",.1704046
"A23L","012",.1014211
"A23L","101",.1264978
"A23L","102",.0297768
"A23L","103",.1978309
"A23L","104",.0291614
"A23L","105",.0356596
"A23L","106",.1923785
"A23L","107",.1168694
"A23N","016",.071419
"A23N","103",.8398176
"A23N","281",.0286533
"A23N","360",.0380724
"A23N","472",.0110188
"A23N","476",.0110188
"A23P","011",.0327785
"A23P","101",.0917011
"A23P","103",.0509921
"A23P","105",.0407697
"A23P","106",.5612737
"A23P","107",.1831279
"A23P","282",.039357
"A24B","107",.0404181
"A24B","120",.9595819
"A24C","120",.3981995
"A24C","170",.2978621
"A24C","281",.0602263
"A24C","282",.2437121
"A24D","120",.1516554
"A24D","170",.8200276
"A24D","201",.0283169
"A24F","120",1
"A41B","139",.2344065
"A41B","141",.6551173
"A41B","143",.1104763
"A41C","139",.6849389
"A41C","141",.2760347
"A41C","202",.0390264
"A41D","139",.377285
"A41D","141",.4313933
"A41D","143",.1913217
"A41F","139",.368966
"A41F","141",.1167087
"A41F","151",.0451551
"A41F","221",.0222596
"A41F","222",.0399602
"A41F","329",.2752971
"A41F","464",.1316533
"A41G","139",.1118572
"A41G","201",.0289692
"A41G","202",.4524605
"A41G","203",.164466
"A41G","222",.0416837
"A41G","329",.0262994
"A41G","900",.0324922
"A41G","960",.1417717
"A41H","139",.6237584
"A41H","141",.1527755
"A41H","202",.027624
"A41H","329",.195842
"A42B","139",.2353968
"A42B","141",.3892904
"A42B","222",.0339406
"A42B","323",.2693398
"A42B","329",.0720324
"A42C","131",.1058365
"A42C","139",.657149
"A42C","141",.1700568
"A42C","202",.0294939
"A42C","323",.0374638
"A43B","152",1
"A43C","152",1
"A43D","152",1
"A44B","139",.1613548
"A44B","151",.0309131
"A44B","222",.0411865
"A44B","329",.7665455
"A44C","151",.0357535
"A44C","321",.9642465
"A45B","329",1
"A45C","151",.9317066
"A45C","222",.0267262
"A45C","329",.0415672
"A45D","329",.1883109
"A45D","852",.0517475
"A45D","960",.7599416
"A45F","139",.0774106
"A45F","151",.7166041
"A45F","222",.147985
"A45F","329",.0580004
"A46B","329",1
"A46D","329",1
"A47B","310",1
"A47C","310",1
"A47D","151",.0487058
"A47D","310",.9512942
"A47F","310",.9694976
"A47F","561",.0080185
"A47F","910",.0224839
"A47G","110",.0577965
"A47G","139",.3163228
"A47G","152",.0328566
"A47G","170",.0949842
"A47G","222",.0349588
"A47G","241",.0243773
"A47G","259",.1359559
"A47G","310",.0649182
"A47G","329",.0423792
"A47G","360",.1871078
"A47G","562",.0002971
"A47G","970",.0080457
"A47H","139",.8532287
"A47H","222",.0520858
"A47H","241",.0245327
"A47H","281",.0701528
"A47J","101",.0240565
"A47J","103",.0426387
"A47J","105",.0466061
"A47J","106",.0930445
"A47J","107",.0380298
"A47J","259",.0227432
"A47J","275",.5344442
"A47J","360",.198437
"A47K","170",.5462048
"A47K","202",.0918996
"A47K","222",.0273963
"A47K","310",.0770283
"A47K","329",.0305053
"A47K","360",.2262835
"A47K","879",.0006821
"A47L","139",.0211637
"A47L","152",.0413616
"A47L","275",.5281614
"A47L","329",.2597593
"A47L","360",.0754884
"A47L","812",.0740656
"A61B","210",.0265526
"A61B","221",.0265162
"A61B","259",.0440327
"A61B","325",.3164833
"A61B","862",.5864152
"A61C","325",1
"A61D","014",.1490792
"A61D","101",.0819671
"A61D","210",.4283003
"A61D","221",.027279
"A61D","222",.0556007
"A61D","281",.0370074
"A61D","325",.0961265
"A61D","889",.1246398
"A61F","139",.2448697
"A61F","170",.0818703
"A61F","201",.0523266
"A61F","202",.162691
"A61F","210",.1604842
"A61F","222",.0444048
"A61F","239",.0244131
"A61F","325",.0402823
"A61F","360",.03274
"A61F","862",.1559179
"A61G","310",.512619
"A61G","325",.249681
"A61G","862",.0604402
"A61G","869",.1527827
"A61G","871",.0239448
"A61G","881",.0005323
"A61H","210",.055903
"A61H","310",.1051608
"A61H","360",.0380373
"A61H","869",.0717528
"A61H","960",.7291462
"A61J","105",.08615
"A61J","210",.8530998
"A61J","222",.0607502
"A61K","201",.0413533
"A61K","210",.9586467
"A61L","139",.0222994
"A61L","201",.2026386
"A61L","202",.0596923
"A61L","210",.0660124
"A61L","274",.1254006
"A61L","310",.0682698
"A61L","325",.3153254
"A61L","360",.081007
"A61L","439",.0593545
"A61M","210",.7132924
"A61M","221",.0620891
"A61M","222",.0518286
"A61M","281",.0341692
"A61M","325",.0655718
