ipc4,naics07_4,probability_weight
"A01B","1151",1
"A01C","1151",1
"A01D","1131",.0231876
"A01D","1151",.461014
"A01D","2361",.2668957
"A01D","3113",.212623
"A01D","3399",.0362797
"A01F","1111",.1278629
"A01F","1151",.542004
"A01F","2361",.2040926
"A01F","3112",.078851
"A01F","3114",.0471895
"A01G","1114",.2415884
"A01G","1131",.201948
"A01G","1133",.0238307
"A01G","1151",.2166015
"A01G","1153",.0680486
"A01G","2361",.0430139
"A01G","3212",.1165851
"A01G","3253",.0883837
"A01H","3112",1
"A01J","3115",1
"A01K","1125",.1510953
"A01K","1141",.7781531
"A01K","3116",.0707516
"A01L","3252",.4219004
"A01L","3255",.2262701
"A01L","3259",.2569812
"A01L","3399",.0948484
"A01M","1142",.8238276
"A01M","3253",.1761724
"A01N","3253",1
"A01P","3253",1
"A21B","3116",.0290372
"A21B","3118",.9709628
"A21C","3118",1
"A21D","1111",.0418116
"A21D","3114",.0209975
"A21D","3118",.8647199
"A21D","3119",.072471
"A22B","3116",1
"A22C","1141",.1690859
"A22C","3116",.8309141
"A23B","1141",.1628298
"A23B","3114",.2460163
"A23B","3116",.3696328
"A23B","3117",.1571738
"A23B","3119",.0643472
"A23C","1121",.2079615
"A23C","3112",.0237822
"A23C","3115",.7682563
"A23D","1111",.076895
"A23D","1113",.0264258
"A23D","1121",.0294176
"A23D","3112",.4386816
"A23D","3113",.0539791
"A23D","3114",.0235908
"A23D","3115",.2820536
"A23D","3118",.0431441
"A23D","3119",.0258125
"A23F","1111",.0815336
"A23F","1113",.0849998
"A23F","1114",.0251944
"A23F","3114",.146457
"A23F","3119",.6101276
"A23F","3121",.0516875
"A23G","1121",.1137694
"A23G","3113",.474413
"A23G","3114",.0306475
"A23G","3115",.3811701
"A23J","1111",.0542468
"A23J","1121",.0499579
"A23J","1141",.0738383
"A23J","3112",.2933269
"A23J","3114",.0861377
"A23J","3115",.2184494
"A23J","3116",.1405964
"A23J","3117",.0412095
"A23J","3118",.0422371
"A23K","1111",.2809803
"A23K","1141",.1268524
"A23K","3111",.0392551
"A23K","3112",.1938253
"A23K","3116",.2805642
"A23K","3117",.0785227
"A23L","1111",.0756523
"A23L","1112",.0674661
"A23L","1114",.0250489
"A23L","1141",.0479867
"A23L","3112",.0248462
"A23L","3114",.1850641
"A23L","3115",.0451523
"A23L","3116",.187549
"A23L","3117",.0459129
"A23L","3118",.1240092
"A23L","3119",.1713123
"A23N","3112",.042322
"A23N","3114",.0387938
"A23N","3116",.0368085
"A23N","3119",.2967529
"A23N","3332",.1123936
"A23N","3336",.0456475
"A23N","3339",.3987796
"A23N","3399",.0285021
"A23P","1111",.0452245
"A23P","1141",.0388349
"A23P","3112",.027335
"A23P","3113",.0325725
"A23P","3114",.0733414
"A23P","3115",.0584673
"A23P","3116",.1020757
"A23P","3118",.457971
"A23P","3119",.0356187
"A23P","3332",.0986795
"A23P","3339",.0298795
"A24B","1113",.0303481
"A24B","1119",.3115526
"A24B","3122",.6580994
"A24C","3122",.9779256
"A24C","3332",.0220744
"A24D","3122",.9759001
"A24D","3221",.0240999
"A24F","3122",1
"A41B","3151",.1767163
"A41B","3152",.8232837
"A41C","3132",.0443782
"A41C","3152",.905856
"A41C","3255",.0209207
"A41C","3259",.0288452
"A41D","3152",.6299268
"A41D","3159",.3700732
"A41F","3152",.8911487
"A41F","3399",.1088514
"A41G","3255",.3854994
"A41G","3259",.4506602
"A41G","3261",.1085696
"A41G","3399",.0552709
"A41H","3152",.9560483
"A41H","3399",.0439518
"A42B","3159",1
"A42C","3159",1
"A43B","3162",1
"A43C","3162",.9583135
"A43C","3399",.0416865
"A43D","3162",1
"A44B","3152",.0685564
"A44B","3261",.0254563
"A44B","3399",.9059872
"A44C","3169",.1383715
"A44C","3261",.0280674
"A44C","3323",.0468931
"A44C","3399",.786668
"A45B","3399",1
"A45C","3169",1
"A45D","2361",.1606872
"A45D","3255",.0585219
"A45D","3256",.1064182
"A45D","3259",.0462676
"A45D","3261",.0850135
"A45D","3322",.0466411
"A45D","3325",.0490876
"A45D","3399",.447363
"A45F","3152",.0292467
"A45F","3169",.7594366
"A45F","3261",.1025182
"A45F","3322",.0237066
"A45F","3371",.0213362
"A45F","3399",.0637556
"A46B","3391",.0409387
"A46B","3399",.9590613
"A46D","3261",.0338966
"A46D","3279",.0257457
"A46D","3322",.0214487
"A46D","3399",.918909
"A47B","3371",.3704042
"A47B","3372",.6295958
"A47C","3371",.8197228
"A47C","3379",.1802772
"A47D","3371",.904705
"A47D","3379",.095295
"A47F","3372",1
"A47G","3152",.0840367
"A47G","3221",.034272
"A47G","3261",.0655207
"A47G","3322",.6388235
"A47G","3372",.0616541
"A47G","3379",.0690395
"A47G","3399",.0466535
"A47H","2361",.0743976
"A47H","3133",.0419119
"A47H","3141",.022241
"A47H","3219",.0330031
"A47H","3255",.0355031
"A47H","3259",.0300783
"A47H","3261",.198094
"A47H","3323",.113875
"A47H","3336",.0796753
"A47H","3342",.0642569
"A47H","3344",.0341712
"A47H","3345",.1012795
"A47H","3372",.0280147
"A47H","3379",.0540327
"A47H","3399",.0894657
"A47J","2361",.0379639
"A47J","3322",.7653216
"A47J","3332",.1227716
"A47J","3345",.0269895
"A47J","3372",.0245823
"A47J","3399",.0223712
"A47K","3221",.1976942
"A47K","3222",.2460378
"A47K","3256",.4216992
"A47K","3261",.0347225
"A47K","3371",.0529419
"A47K","3372",.0235527
"A47K","3399",.0233518
"A47L","2361",.0771266
"A47L","3256",.071479
"A47L","3399",.8513943
"A61B","3322",.0912209
"A61B","3333",.0800659
"A61B","3335",.0262053
"A61B","3341",.0294128
"A61B","3345",.1283205
"A61B","3391",.435639
"A61B","3399",.2091356
"A61C","3391",1
"A61D","1122",.0295649
"A61D","1124",.0790399
"A61D","1152",.0675132
"A61D","3115",.0353309
"A61D","3116",.3607602
"A61D","3261",.0569993
"A61D","3262",.0273979
"A61D","3322",.0352255
"A61D","3336",.0674042
"A61D","3339",.0301147
"A61D","3399",.2106492
"A61F","3152",.2175868
"A61F","3159",.0477861
"A61F","3255",.2301658
"A61F","3259",.2316864
"A61F","3261",.0675301
"A61F","3333",.1225836
"A61F","3391",.025933
"A61F","3399",.0567282
"A61G","3261",.0962732
"A61G","3262",.0240609
"A61G","3322",.0339097
"A61G","3336",.0754279
"A61G","3339",.1089067
"A61G","3345",.0550172
"A61G","3391",.2971519
"A61G","3399",.3092525
"A61H","3159",.0910461
"A61H","3261",.0497932
"A61H","3262",.0597259
"A61H","3335",.0338755
"A61H","3336",.0962457
"A61H","3339",.0945743
"A61H","3344",.0281165
"A61H","3345",.0711873
"A61H","3353",.0290959
"A61H","3399",.4463398
"A61J","3115",.4973599
"A61J","3121",.0885038
"A61J","3261",.130458
"A61J","3262",.0548197
"A61J","3322",.0796545
"A61J","3339",.024565
"A61J","3399",.1246392
"A61K","1121",.026604
"A61K","1129",.042329
"A61K","1141",.0314775
"A61K","3112",.042856
"A61K","3113",.0272628
"A61K","3115",.1394233
"A61K","3116",.0518614
"A61K","3119",.19337
"A61K","3121",.0243359
"A61K","3251",.0223189
"A61K","3254",.0293018
"A61K","3255",.0406717
"A61K","3256",.0418875
"A61K","3259",.0383765
"A61K","3391",.2479237
"A61L","3251",.0474108
"A61L","3254",.0813583
"A61L","3255",.2014711
"A61L","3259",.2072644
"A61L","3261",.0707425
"A61L","3324",.0256198
"A61L","3333",.0281012
"A61L","3339",.0844894
"A61L","3391",.2101743
"A61L","3399",.0433681
"A61M","3261",.0401563
"A61M","3262",.0521544
"A61M","3336",.0655098
"A61M","3339",.0965577
"A61M","3391",.0282458
"A61M","3399",.7173761
"A61N","3159",.028561
"A61N","3255",.0384054
"A61N","3259",.0384056
"A61N","3271",.0448606
"A61N","3333",.0218827
"A61N","3341",.0378443
"A61N","3342",.0279253
"A61N","3344",.0657148
"A61N","3345",.4799477
"A61N","3353",.0587211
"A61N","3359",.0308652
"A61N","3391",.0322377
"A61N","3399",.0946285
"A61P","1121",.0381955
"A61P","1129",.081318
"A61P","1141",.0470822
"A61P","3112",.0652859
"A61P","3113",.0264431
"A61P","3115",.1044442
"A61P","3116",.0911379
"A61P","3119",.3971
"A61P","3121",.0797823
"A61P","3251",.0439915
"A61P","3254",.0252195
"A61Q","1121",.0459373
"A61Q","3113",.0237316
"A61Q","3115",.2260872
"A61Q","3119",.0657323
"A61Q","3256",.364662
"A61Q","3279",.028927
"A61Q","3391",.2449227
"A62B","2361",.0367703
"A62B","3152",.0754718
"A62B","3159",.3100561
"A62B","3169",.4441079
"A62B","3345",.0405242
"A62B","3399",.0930697
"A62C","2361",.0680715
"A62C","3259",.0519954
"A62C","3324",.097365
"A62C","3336",.0426433
"A62C","3339",.692928
"A62C","3345",.0469968
"A62D","1132",.0544062
"A62D","3251",.3404567
"A62D","3253",.2421787
"A62D","3259",.0545719
"A62D","3271",.139238
"A62D","3273",.0240783
"A62D","3274",.1000334
"A62D","3321",.0450367
"A63B","3159",.108612
"A63B","3261",.0239751
"A63B","3399",.8674129
"A63C","3162",.436615
"A63C","3261",.024307
"A63C","3399",.539078
"A63D","2361",.0619026
"A63D","3219",.0384283
"A63D","3261",.118023
"A63D","3262",.0610418
"A63D","3279",.0553536
"A63D","3332",.4143312
"A63D","3339",.0342359
"A63D","3341",.0239286
"A63D","3399",.1927551
"A63F","2361",.0363387
"A63F","3341",.0763539
"A63F","3345",.1108245
"A63F","3399",.7764829
"A63G","2361",.038906
"A63G","3169",.0421505
"A63G","3261",.0521249
"A63G","3336",.1106907
"A63G","3339",.0999555
"A63G","3345",.0368574
"A63G","3399",.6193149
"A63H","3399",1
"A63J","2361",.1311862
"A63J","3159",.028021
"A63J","3169",.0377441
"A63J","3221",.0382248
"A63J","3336",.0758393
"A63J","3339",.1321004
"A63J","3341",.0371473
"A63J","3342",.0289086
"A63J","3343",.0330924
"A63J","3345",.1925763
"A63J","3346",.0299637
"A63J","3399",.2351957
"A63K","3132",.0289547
"A63K","3261",.7297804
"A63K","3262",.0373868
"A63K","3325",.0340448
"A63K","3336",.0300278
"A63K","3359",.0406802
"A63K","3399",.0991253
"B01B","2361",.0656323
"B01B","3114",.0406881
"B01B","3121",.0854172
"B01B","3251",.0538044
