ipc4,naics07_5,probability_weight
"A01B","11511",1
"A01C","11511",1
"A01D","11142",.0305781
"A01D","11511",.2993215
"A01D","23611",.1732868
"A01D","31131",.4471425
"A01D","31194",.0218369
"A01D","33999",.0278342
"A01F","11115",.0690293
"A01F","11119",.1086308
"A01F","11194",.0246585
"A01F","11511",.4514931
"A01F","23611",.1700106
"A01F","31122",.0713203
"A01F","31142",.0447856
"A01F","32519",.0600717
"A01G","11142",.4536775
"A01G","11311",.1532779
"A01G","11511",.1643999
"A01G","11531",.0516487
"A01G","23611",.0326474
"A01G","32121",.0884877
"A01G","32532",.0558609
"A01H","31122",1
"A01J","31151",1
"A01K","11239",.0007806
"A01K","11251",.1509774
"A01K","11411",.7775457
"A01K","31161",.0706963
"A01L","32521",.3863342
"A01L","32552",.2674128
"A01L","32599",.2440584
"A01L","33999",.1021945
"A01M","11421",.8105832
"A01M","32532",.1894168
"A01N","32532",1
"A01P","32532",1
"A21B","31181",.8460076
"A21B","31182",.1266883
"A21B","31183",.0273041
"A21C","31181",.227118
"A21C","31182",.772882
"A21D","11114",.0943726
"A21D","31181",.1758045
"A21D","31182",.6069829
"A21D","31192",.1228399
"A22B","31161",.9641801
"A22B","33392",.03582
"A22C","11411",.1690859
"A22C","31161",.8309141
"A23B","11411",.1567204
"A23B","31141",.0803083
"A23B","31142",.1673668
"A23B","31161",.3557642
"A23B","31171",.1512766
"A23B","31194",.0885636
"A23C","11212",.2030802
"A23C","31122",.0252017
"A23C","31151",.7717182
"A23D","11111",.0277239
"A23D","11112",.1078488
"A23D","11133",.0322813
"A23D","11199",.0382575
"A23D","11212",.0247466
"A23D","31122",.4081943
"A23D","31133",.0754804
"A23D","31151",.2423295
"A23D","31181",.0431377
"A23F","11119",.0941885
"A23F","11131",.0344051
"A23F","31142",.0503652
"A23F","31192",.7936038
"A23F","31211",.0274375
"A23G","11212",.082524
"A23G","31132",.016024
"A23G","31133",.314949
"A23G","31134",.1403488
"A23G","31151",.1639297
"A23G","31152",.2822244
"A23J","11111",.121594
