ipc4,sitc_rev4_4,probability_weight
"A01B","721.1",.9732218
"A01B","723.9",.0267782
"A01C","721.1",1
"A01D","222.1",.0369068
"A01D","721.2",.9630932
"A01F","222.1",.0499536
"A01F","721.2",.9500464
"A01G","081.2",.0265595
"A01G","246.2",.0913172
"A01G","292.3",.0373382
"A01G","292.4",.0319838
"A01G","292.5",.0126537
"A01G","292.6",.0526629
"A01G","292.7",.3367243
"A01G","721.1",.3343498
"A01G","723.9",.0487063
"A01G","724.6",.0277043
"A01H","062.1",.0538974
"A01H","222.2",.2825734
"A01H","292.4",.4003368
"A01H","292.7",.2631923
"A01J","022.4",.0220898
"A01J","024.2",.1354924
"A01J","024.9",.1163437
"A01J","721.3",.7260742
"A01K","001.1",.0006895
"A01K","001.3",.0019153
"A01K","001.9",.0001277
"A01K","025.2",.1204759
"A01K","034.1",.0343342
"A01K","036.3",.0133701
"A01K","422.2",.0622159
"A01K","422.3",.0525623
"A01K","894.7",.7143091
"A01L","291.1",1
"A01M","025.2",.0341577
"A01M","292.9",.0452524
"A01M","721.1",.04634
"A01M","723.9",.0877035
"A01M","771.1",.0358857
"A01M","772.5",.0784966
"A01M","774.1",.0285297
"A01M","778.1",.592787
"A01M","778.2",.0508474
"A01N","061.2",.0583446
"A01N","081.2",.0540576
"A01N","292.4",.0465418
"A01N","292.7",.0467944
"A01N","422.5",.0213804
"A01N","511.1",.0978911
"A01N","512.1",.0415626
"A01N","512.2",.0358409
"A01N","513.7",.0409893
"A01N","513.9",.1026873
"A01N","515.4",.0805434
"A01N","516.2",.0306254
"A01N","522.3",.0364386
"A01N","523.2",.0672248
"A01N","523.3",.0553298
"A01N","523.6",.1322283
"A01N","523.8",.0515198
"A01P","056.4",.0751526
"A01P","057.3",.0026574
"A01P","061.2",.0346544
"A01P","075.1",.0299275
"A01P","081.1",.0318105
"A01P","081.2",.0586362
"A01P","222.1",.046161
"A01P","222.2",.0542508
"A01P","292.4",.1143296
"A01P","511.1",.0374863
"A01P","512.1",.0700339
"A01P","513.9",.0585049
"A01P","515.7",.041001
"A01P","516.2",.0437135
"A01P","522.3",.0293301
"A01P","522.6",.0316943
"A01P","523.2",.0691623
"A01P","523.3",.0478708
"A01P","523.5",.0341488
"A01P","523.6",.0894742
"A21B","048.4",.7188353
"A21B","048.5",.0589681
"A21B","222.5",.0208116
"A21B","727.2",.17597
"A21B","741.3",.0254149
"A21C","048.3",.1639014
"A21C","048.4",.3916817
"A21C","098.9",.2550862
"A21C","727.2",.1893308
"A21D","041.2",.0618263
"A21D","046.1",.2478731
"A21D","048.4",.3547416
"A21D","056.4",.1561046
"A21D","057.2",.023532
"A21D","058.2",.008906
"A21D","071.1",.1448056
"A21D","072.1",.0022107
"A22B","012.2",.1892648
"A22B","016.1",.0365184
"A22B","017.1",.0056122
"A22B","037.1",.002779
"A22B","211.6",.027433
"A22B","211.7",.0269755
"A22B","211.9",.205346
"A22B","291.1",.0724503
"A22B","411.2",.0374221
"A22B","695.4",.0465708
"A22B","695.5",.0335934
"A22B","695.6",.0319792
"A22B","696.8",.1949746
"A22B","744.2",.0441527
"A22B","899.1",.0449279
"A22C","017.2",.8864132
"A22C","291.1",.0847184
"A22C","696.8",.0288684
"A23B","011.2",.0039428
"A23B","012.3",.017345
"A23B","016.1",.039061
"A23B","016.8",.0063545
"A23B","025.1",.0073706
"A23B","025.2",.0548767
"A23B","034.1",.1262777
"A23B","034.2",.1398203
"A23B","034.4",.0023303
"A23B","034.5",.0073301
"A23B","035.1",.0988575
"A23B","035.2",.0433332
"A23B","035.3",.0703797
"A23B","036.1",.0087194
"A23B","054.5",.0448299
"A23B","054.6",.0156164
"A23B","054.8",.039187
"A23B","056.1",.0429688
"A23B","056.7",.0529227
"A23B","057.9",.0833895
"A23B","075.1",.0441289
"A23B","075.2",.042149
"A23B","422.4",.0063258
"A23B","431.1",.0023025
"A23B","591.9",.0001805
"A23C","022.2",.2076705
"A23C","022.3",.0255082
"A23C","022.4",.2091565
"A23C","024.1",.0098825
"A23C","024.2",.2440697
"A23C","024.3",.0013934
"A23C","024.9",.1798333
"A23C","292.2",.1224859
"A23D","023.0",.0321576
"A23D","091.0",.3919083
"A23D","222.1",.0294838
"A23D","222.6",.0547118
"A23D","223.4",.0162838
"A23D","411.1",.0590111
"A23D","421.3",.043457
"A23D","421.4",.0517853
"A23D","421.5",.0566614
"A23D","421.6",.0608535
"A23D","421.7",.0360141
"A23D","421.8",.0401461
"A23D","422.1",.0082929
"A23D","422.9",.0374659
"A23D","431.3",.0488465
"A23D","513.7",.0329207
"A23F","043.0",.0351586
"A23F","044.9",.0351586
"A23F","045.1",.0138038
"A23F","045.2",.0036486
"A23F","057.1",.0283444
"A23F","057.5",.0126629
"A23F","071.1",.2800164
"A23F","071.3",.09388
"A23F","074.1",.4769606
